Country Name,Date,Individual type,Unit of measure,Income Group,Value_digital,Value_health
NORWAY,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,55.0,13.0
NORWAY,2010,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,47.0,12.6
NORWAY,2010,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,48.0,12.6
NORWAY,2012,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,59.0,11.4
NORWAY,2012,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,60.0,11.4
POLAND,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,38.0,19.2
POLAND,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,58.0,19.2
POLAND,2010,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,46.0,18.6
POLAND,2010,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,66.0,18.6
POLAND,2012,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,48.0,18.5
POLAND,2012,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,65.0,18.5
PORTUGAL,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,21.0,13.1
PORTUGAL,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,39.0,13.1
PORTUGAL,2010,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,39.0,13.5
PORTUGAL,2010,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,66.0,13.5
PORTUGAL,2012,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,52.0,13.5
PORTUGAL,2012,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,74.0,13.5
ROMANIA,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,UPPER MIDDLE INCOME,17.0,12.2
ROMANIA,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,UPPER MIDDLE INCOME,45.0,12.2
ROMANIA,2010,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,UPPER MIDDLE INCOME,19.0,14.0
ROMANIA,2010,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,UPPER MIDDLE INCOME,45.0,14.0
ROMANIA,2012,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,UPPER MIDDLE INCOME,24.0,12.6
ROMANIA,2012,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,UPPER MIDDLE INCOME,45.0,12.6
SERBIA,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,UPPER MIDDLE INCOME,15.0,19.5
SERBIA,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,UPPER MIDDLE INCOME,35.0,19.5
SLOVENIA,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,35.0,22.5
SLOVENIA,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,48.0,22.5
SLOVENIA,2010,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,37.0,20.7
SLOVENIA,2010,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,46.0,20.7
SLOVENIA,2012,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,52.0,22.0
SLOVENIA,2012,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,63.0,22.0
SPAIN,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,35.0,7.6
SPAIN,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,50.0,7.6
SPAIN,2010,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,34.0,7.0
SPAIN,2010,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,46.0,7.0
SPAIN,2012,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,47.0,7.7
SPAIN,2012,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,59.0,7.7
SWEDEN,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,35.0,15.7
SWEDEN,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,37.0,15.7
SWEDEN,2010,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,48.0,15.3
SWEDEN,2010,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,49.0,15.3
SWEDEN,2012,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,55.0,15.0
SWEDEN,2012,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,57.0,15.0
TURKEY,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,UPPER MIDDLE INCOME,25.0,2.4
TURKEY,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,UPPER MIDDLE INCOME,57.0,2.4
TURKEY,2010,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,UPPER MIDDLE INCOME,32.0,8.4
TURKEY,2010,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,UPPER MIDDLE INCOME,65.0,8.4
TURKEY,2012,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,UPPER MIDDLE INCOME,23.0,2.2
TURKEY,2012,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,UPPER MIDDLE INCOME,42.0,2.2
UNITED KINGDOM,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,37.0,8.0
UNITED KINGDOM,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,42.0,8.0
UNITED KINGDOM,2010,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,39.0,7.8
UNITED KINGDOM,2010,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,43.0,7.8
UNITED KINGDOM,2012,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,61.0,8.2
UNITED KINGDOM,2012,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,66.0,8.2
